"belligerent","battle_name","cwsac_id","relation"
"CS","Allatoona Pass, Ga","GA023","="
"CS","Averasboro, N. C","NC019","="
"CS","Ball's Bluff, Va","VA006","="
"CS","Baton Rouge, La","LA003","="
"CS","Belmont, Mo","MO009","="
"CS","Bentonville, N. C","NC020","="
"CS","Beverly Ford, Va","VA035","="
"CS","Brice's Cross Roads, Miss.","MS014","="
"CS","Bristoe Station, Va","VA040","="
"CS","Camden, N. C","NC005","="
"CS","Camp Alleghany, W. Va","WV008","="
"CS","Cavalry Affairs, Va","VA042","="
"CS","Cedar Creek, Va","VA122","="
"CS","Cedar Mountain, Va","VA022","="
"CS","Champion's Hill, Miss","MS009","="
"CS","Chancellorsville, Va","VA034","="
"CS","Chaplin Hills, Ky","KY009","="
"CS","Charleston Harbor, S. C.","SC008","="
"CS","Chickamauga, Ga","GA004","="
"CS","Chickasaw Bluffs, Miss","MS003","="
"CS","Corinth, Miss","MS002",">"
"CS","Corinth, Miss","TN007",">"
"CS","Cross Keys, Va","VA105","="
"CS","Dranesville, Va","VA007","="
"CS","Droop Mountain, Va","WV012","="
"CS","Fair Oaks, Va","VA014","="
"CS","First Bull Run, Va","VA005","="
"CS","Fisher's Hill, Va.","VA120","="
"CS","Fort Donelson, Tenn","TN002","="
"CS","Fort Sanders, Tenn","TN025","="
"CS","Fort Wagner, S. C.","SC005","="
"CS","Fredericksburg, Va","VA028","="
"CS","Front Royal; Winchester, Va","VA103",">"
"CS","Front Royal; Winchester, Va","VA104",">"
"CS","Gaine's Mill","VA017","="
"CS","Garnett's Farm, and Golding's Farm","VA018","="
"CS","Gettysburg, Pa","PA002","="
"CS","Greenbrier River, W. Va","WV007","="
"CS","Hagerstown; Williamsport, Md","MD004","="
"CS","Hanover C. H., Va","VA013","="
"CS","Hanover, Pa","PA001","="
"CS","Hartsville, Tenn","TN008","="
"CS","Helena, Ark","AR008","="
"CS","Iuka, Miss","MS001","="
"CS","Jenkins's Ferry, Ark.","AR016","="
"CS","Kelly's Ford, Va","VA029","="
"CS","Kenesaw Mountain (Atlanta Campaign)","GA013",">"
"CS","Kenesaw Mountain (Atlanta Campaign)","GA015",">"
"CS","Kenesaw Mountain (Atlanta Campaign)","GA014",">"
"CS","Kernstown, Va","VA101","="
"CS","Kinston, Whitehall, N. C","NC007","="
"CS","Magnolia Hills, Miss","MS006","="
"CS","Malvern Hill","VA021","="
"CS","Manassas, Va","VA023",">"
"CS","Manassas, Va","VA024",">"
"CS","Manassas, Va","VA026",">"
"CS","Manassas, Va","VA025",">"
"CS","Manassas, Va","VA027",">"
"CS","Marks's Mills, Ark","AR015","="
"CS","Maryland Campaign, Md","WV010",">"
"CS","Maryland Campaign, Md","MD002",">"
"CS","Maryland Campaign, Md","MD003",">"
"CS","Maryland Campaign, Md","WV016",">"
"CS","McDowell, Va","VA102","="
"CS","Mechanicsville (Seven Days Battle)","VA016","="
"CS","Middleburg; Upperville, Va","VA038","="
"CS","Mill Springs, Ky","KY006","="
"CS","Milliken's Bend, La","LA011","="
"CS","Mine Run Campaign, Va.","VA044","="
"CS","Missionary Ridge, Tenn","TN024","="
"CS","Morris Island, S. C.","SC005","="
"CS","Munfordville, Ky","KY008","="
"CS","New Berne, N. C","NC003","="
"CS","New Hope Church; Dallas (Atlanta Campaign)","GA011",">"
"CS","New Hope Church; Dallas (Atlanta Campaign)","GA010",">"
"CS","New Market, Va","VA110","="
"CS","Oak Grove (Seven Days Battle)","VA015","="
"CS","Olustee, Fla","FL005","="
"CS","Opequon, Va","VA119","="
"CS","Peach Tree Creek; Atlanta (Atlanta Campaign)","GA016",">"
"CS","Peach Tree Creek; Atlanta (Atlanta Campaign)","GA017",">"
"CS","Plain's Store, La","LA009","="
"CS","Port Hudson, La","LA010","="
"CS","Port Republic, Va","VA106","="
"CS","Prairie Grove, Ark","AR005","="
"CS","Rappahannock Station, Va","VA043","="
"CS","Raymond, Miss","MS007","="
"CS","Richmond, Ky","KY007","="
"CS","Roanoke Island, N. C","NC002","="
"CS","Rocky Face Ridge; Resaca (Atlanta Campaign)","GA007",">"
"CS","Rocky Face Ridge; Resaca (Atlanta Campaign)","GA008",">"
"CS","Rocky Face Ridge; Resaca (Atlanta Campaign)","GA009",">"
"CS","Savage Station and Peach Orchard","VA019","="
"CS","Secessionville, S. C","SC002","="
"CS","Shiloh, Tenn","TN003","="
"CS","Springfield; Hartsville, Mo","MO018",">"
"CS","Springfield; Hartsville, Mo","MO019",">"
"CS","Stone's River, Tenn","TN010","="
"CS","Thompson's Station, Tenn","TN013","="
"CS","Tupelo, Miss","MS015","="
"CS","Utoy Creek; Jonesboro (Atlanta Campaign)","GA019",">"
"CS","Utoy Creek; Jonesboro (Atlanta Campaign)","GA022",">"
